"BehaviorSpace results (NetLogo 6.2.0)"
"PDv1.0.nlogo"
"experiment 1"
"08/15/2021 14:20:13:919 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","rounds-per-GA-event","cost-of-memory","split-finetune","err-p-magnitude","wildcard-finetune","duplication-finetune","population","win-lose-payout","duplication-p-magnitude","point-finetune","point-p-magnitude","lose-win-payout","error-finetune","split-p-magnitude","update-visuals?","assume-cooperation?","wildcard-p-magnitude","lose-lose-payout","turnover-rate","win-win-payout","[step]","first strategy-count","last strategy-count"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","0","[[1 0] [1 1] [0 0] [0 1]]","[32 26 23 19]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","0","[[1 0] [1 1] [0 1] [0 0]]","[37 25 20 18]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","1","[[0 1] [1 0] [0 0] [1 1] [0 0 0 0] [1 0 1 0]]","[32 31 18 16 2 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","1","[[1 0] [0 0] [1 1] [0 1] [1 1 1 1] [1 0 1 0] [0 0 0 0] [0 0 0 0]]","[30 26 21 11 7 3 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","2","[[1 1] [1 0] [0 0] [0 1] [0 0 0 0] [1 0 1 0] [0 0 0 0] [1 1 1 1]]","[29 26 19 18 3 2 2 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","2","[[0 1] [1 0] [1 1 1 1] [0 0] [1 1] [1 0 1 0] [1 0 1 0]]","[36 22 17 14 7 2 2]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","3","[[1 0] [0 0] [0 1] [0 1 0 1] [1 1] [1 0 1 0] [0 0 0 0] [1 1 1 1]]","[23 22 21 18 6 5 3 2]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","3","[[1 0] [0 1] [1 1] [1 1 1 1] [0 0] [0 0 0 0] [1 1 0 1]]","[37 19 18 16 7 2 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","4","[[0 1 0 1] [0 0] [0 0] [0 1] [1 1 1 1] [1 0] [1 1 1 1] [1 1 1 0] [1 1 1 1]]","[23 22 22 19 6 5 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","4","[[1 0] [0 1] [1 1] [1 1 1 1] [1 0 1 1] [1 0 1 1] [1 1 1 0] [1 1 1 1] [0 0 0 0] [1 1 1 0]]","[39 20 17 7 7 4 2 2 1 1]"
